year,iso3,country,rank,cdi,totalImport,chinaImport,topCategory,region,incomeGroup
2007,KGZ,Kyrgyzstan,1,0.798570937345417,4488562.331,3584435.428,纺织、服装、鞋帽与生活饰品,Europe & Central Asia,Lower middle income
2007,TGO,Togo,2,0.7074743220672167,1900988.795,1344900.759,纺织、服装、鞋帽与生活饰品,Sub-Saharan Africa ,Low income
2007,PRK,Dem. People's Rep. of Korea,3,0.6667048524354209,1077556.762,718412.322,机械、电气与电子设备,East Asia & Pacific,Low income
2007,BEN,Benin,4,0.6467556958987992,2975028.542,1924116.655,纺织、服装、鞋帽与生活饰品,Sub-Saharan Africa ,Lower middle income
2007,NPL,Nepal,5,0.5455246042442359,664644.394,362579.87,纺织、服装、鞋帽与生活饰品,South Asia,Lower middle income
2007,SOM,Somalia,6,0.5436121888286689,46257.997,25146.411,机械、电气与电子设备,Sub-Saharan Africa ,Low income
2007,GMB,Gambia,7,0.5323078637082457,322196.249,171507.597,纺织、服装、鞋帽与生活饰品,Sub-Saharan Africa ,Low income
2007,HKG,"China, Hong Kong SAR",8,0.4665371296450395,356753472.89,166438741.233,机械、电气与电子设备,East Asia & Pacific,High income
2007,MMR,Myanmar,9,0.46618672048202614,3254831.861,1517359.391,机械、电气与电子设备,East Asia & Pacific,Lower middle income
2007,MAC,"China, Macao SAR",10,0.4341453723486215,4414790.75,1916660.974,纺织、服装、鞋帽与生活饰品,East Asia & Pacific,High income
2007,TJK,Tajikistan,11,0.42182887713967954,1175156.14,495714.795,纺织、服装、鞋帽与生活饰品,Europe & Central Asia,Lower middle income
2007,KIR,Kiribati,12,0.4196684500467835,35490.097,14894.074,运输设备,East Asia & Pacific,Lower middle income
2007,BGD,Bangladesh,13,0.39233182973339553,8146090.166,3195970.46,纺织、服装、鞋帽与生活饰品,South Asia,Lower middle income
2007,MNG,Mongolia,14,0.3753222511005424,1369581.048,514034.242,机械、电气与电子设备,East Asia & Pacific,Upper middle income
2007,DMA,Dominica,15,0.3509736480840776,196262.39,68882.927,机械、电气与电子设备,Latin America & Caribbean ,Upper middle income
2007,PRY,Paraguay,16,0.3330523311205153,4945453.345,1647094.765,机械、电气与电子设备,Latin America & Caribbean ,Upper middle income
2007,ETH,Ethiopia,17,0.3197278136834439,2222410.765,710566.535,机械、电气与电子设备,Sub-Saharan Africa ,Not classified
2007,JPN,Japan,18,0.3160701298354615,353284176.085,111662575.404,机械、电气与电子设备,East Asia & Pacific,High income
2007,LSO,Lesotho,19,0.3132882736019536,180823.241,56649.801,纺织、服装、鞋帽与生活饰品,Sub-Saharan Africa ,Lower middle income
2007,PAK,Pakistan,20,0.29671381808881264,17537716.553,5203682.839,机械、电气与电子设备,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
2007,VNM,Viet Nam,21,0.292691482283517,36330146.057000004,10633524.301,机械、电气与电子设备,East Asia & Pacific,Lower middle income
2007,KAZ,Kazakhstan,22,0.29065232492267307,25002546.052,7267048.139,纺织、服装、鞋帽与生活饰品,Europe & Central Asia,Upper middle income
2007,GIN,Guinea,23,0.28983456463848084,860029.432,249266.256,纺织、服装、鞋帽与生活饰品,Sub-Saharan Africa ,Lower middle income
2007,ATG,Antigua and Barbuda,24,0.28487278111380426,1331728.0559999999,379373.075,运输设备,Latin America & Caribbean ,High income
2007,GHA,Ghana,25,0.2694097131975676,4211657.028,1134661.312,纺织、服装、鞋帽与生活饰品,Sub-Saharan Africa ,Lower middle income
2007,LKA,Sri Lanka,26,0.2687240396238063,4837518.496,1299957.512,纺织、服装、鞋帽与生活饰品,South Asia,Lower middle income
2007,DJI,Djibouti,27,0.2665824948202534,614408.921,163790.663,纺织、服装、鞋帽与生活饰品,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
2007,MDG,Madagascar,28,0.265870871828034,1747594.228,464634.401,纺织、服装、鞋帽与生活饰品,Sub-Saharan Africa ,Low income
2007,YEM,Yemen,29,0.2624965559520652,3549703.788,931785.019,纺织、服装、鞋帽与生活饰品,"Middle East, North Africa, Afghanistan & Pakistan",Low income
2007,CUB,Cuba,30,0.2615299683259442,4167231.721,1089855.98,机械、电气与电子设备,Latin America & Caribbean ,Upper middle income
2007,BWA,Botswana,31,0.24342095691909402,485211.407,118110.625,纺织、服装、鞋帽与生活饰品,Sub-Saharan Africa ,Upper middle income
2007,SYR,Syria,32,0.23672559541306634,7786438.335,1843249.251,贱金属及金属制品,"Middle East, North Africa, Afghanistan & Pakistan",Low income
2007,TZA,United Rep. of Tanzania,33,0.23664231971313818,2511217.126,594260.246,机械、电气与电子设备,Sub-Saharan Africa ,Lower middle income
2007,KOR,Rep. of Korea,34,0.23554356376589347,232018868.702,54650551.195,机械、电气与电子设备,East Asia & Pacific,High income
2007,IRN,Iran,35,0.2290544700549935,31230182.202,7153412.834,贱金属及金属制品,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
2007,USA,USA,36,0.20885132579925325,1477578380.281,308594203.694,机械、电气与电子设备,North America,High income
2007,SDN,Sudan (...2011),37,0.20821112603968478,8864593.997,1845707.098,机械、电气与电子设备,Sub-Saharan Africa ,Low income
2007,KHM,Cambodia,38,0.20378576458337452,4526443.159,922424.68,纺织、服装、鞋帽与生活饰品,East Asia & Pacific,Lower middle income
2007,SLE,Sierra Leone,39,0.20167657866332195,277368.435,55938.717,运输设备,Sub-Saharan Africa ,Low income
2007,TUV,Tuvalu,40,0.2012315340115624,25492.272,5129.849,运输设备,East Asia & Pacific,Upper middle income
2007,NGA,Nigeria,41,0.20084388635561312,18372467.213,3689997.717,机械、电气与电子设备,Sub-Saharan Africa ,Lower middle income
2007,CHL,Chile,42,0.19629227470413216,30499527.116,5986821.555,机械、电气与电子设备,Latin America & Caribbean ,High income
2007,PAN,Panama,43,0.19486781407187997,24071994.805,4690857.008,纺织、服装、鞋帽与生活饰品,Latin America & Caribbean ,High income
2007,IND,India,44,0.19437650489263344,121051851.776,23529635.859,机械、电气与电子设备,South Asia,Lower middle income
2007,KEN,Kenya,45,0.19004031825347487,4886145.927,928564.727,纺织、服装、鞋帽与生活饰品,Sub-Saharan Africa ,Lower middle income
2007,AUS,Australia,46,0.1881553140832919,133147102.244,25052334.842,机械、电气与电子设备,East Asia & Pacific,High income
2007,TLS,Timor-Leste,47,0.18190859433113973,46713.164,8497.526,机械、电气与电子设备,East Asia & Pacific,Lower middle income
2007,ARE,United Arab Emirates,48,0.17885331794252898,92960424.527,16626280.364,机械、电气与电子设备,"Middle East, North Africa, Afghanistan & Pakistan",High income
2007,UGA,Uganda,49,0.17869058185353012,1131715.124,202226.834,机械、电气与电子设备,Sub-Saharan Africa ,Low income
2007,FSM,FS Micronesia,50,0.17305127473998586,46005.382,7961.29,运输设备,East Asia & Pacific,Lower middle income
2007,TKM,Turkmenistan,51,0.1701418908223446,1743532.5690000001,296647.928,贱金属及金属制品,Europe & Central Asia,Upper middle income
2007,NZL,New Zealand,52,0.1677022632684878,23791097.605,3989820.914,机械、电气与电子设备,East Asia & Pacific,High income
2007,IDN,Indonesia,53,0.16699541049915576,63562459.383,10614638.997,机械、电气与电子设备,East Asia & Pacific,Upper middle income
2007,RWA,Rwanda,54,0.1662612081243704,209286.913,34796.295,机械、电气与电子设备,Sub-Saharan Africa ,Low income
2007,UZB,Uzbekistan,55,0.16357014190039457,4500414.406,736133.423,机械、电气与电子设备,Europe & Central Asia,Lower middle income
2007,PHL,Philippines,56,0.16127764050169183,41953389.149,6766143.613,机械、电气与电子设备,East Asia & Pacific,Lower middle income
2007,EGY,Egypt,57,0.16024882224046622,26922877.583,4314359.424,纺织、服装、鞋帽与生活饰品,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
2007,COG,Congo,58,0.1596856703226003,2587102.582,413123.21,机械、电气与电子设备,Sub-Saharan Africa ,Lower middle income
2007,SEN,Senegal,59,0.15968284283273823,1878072.645,299895.979,纺织、服装、鞋帽与生活饰品,Sub-Saharan Africa ,Lower middle income
2007,ERI,Eritrea,60,0.15617660756855614,117432.068,18340.142,机械、电气与电子设备,Sub-Saharan Africa ,Low income
2007,TCD,Chad,61,0.1560398819975456,379994.808,59294.345,机械、电气与电子设备,Sub-Saharan Africa ,Low income
2007,MYS,Malaysia,62,0.15557993702681705,106562630.419,16579007.33,机械、电气与电子设备,East Asia & Pacific,Upper middle income
2007,MRT,Mauritania,63,0.1555561574637696,676736.625,105270.549,纺织、服装、鞋帽与生活饰品,Sub-Saharan Africa ,Lower middle income
2007,CMR,Cameroon,64,0.15466872459061284,1889817.814,292295.711,机械、电气与电子设备,Sub-Saharan Africa ,Lower middle income
2007,S19,"Other Asia, nes",65,0.1526847233668784,143028485.034,21838264.671,机械、电气与电子设备,,
2007,CIV,CÃ´te d'Ivoire,66,0.14935662090690513,2159041.481,322467.14,机械、电气与电子设备,Sub-Saharan Africa ,Lower middle income
2007,THA,Thailand,67,0.1487957315972622,109233346.861,16253455.761,机械、电气与电子设备,East Asia & Pacific,Upper middle income
